,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2350,002777,久远银海,-0.483,24.73,24.78,25.12,24.2,24.85,302200.0,0.20679000000000003,7446564.0,43.386,4.444,426692.884016,361404.22
2351,002776,柏堡龙,-1.566,17.6,17.85,17.98,17.55,17.88,549009.0,0.26689,9716517.0,32.593,2.829,634809.65504,362037.38384
2352,002775,文科园林,-1.8,6.0,6.11,6.11,5.97,6.11,1075160.0,0.26401,6476137.0,6.093,1.248,307739.5464,244346.8488
2353,002774,快意电梯,0.733,9.62,9.54,9.8,9.39,9.55,11659913.0,13.93336,112207034.0,40.268,3.25,328173.794,80503.4308
2354,002773,康弘药业,-3.437,37.65,38.02,38.8,37.14,38.99,693478.0,0.14552,26118382.0,39.219,6.47,2535865.6002,1794191.574855
2355,002772,众兴菌业,-1.051,6.59,6.72,6.78,6.5,6.66,1079340.0,0.42439000000000004,7163575.0,16.897,0.973,246026.630202,167602.007679
2356,002771,真视通,-3.339,11.0,11.43,11.49,10.75,11.38,766800.0,0.8379300000000001,8493262.0,25.581,2.7,177698.62,100661.858
2357,002770,科迪乳业,-3.093,2.82,2.9,2.94,2.75,2.91,6976957.0,1.1965,19762403.0,23.5,1.763,308752.718754,164437.801704
2358,002769,普路通,-2.39,9.8,10.0,10.24,9.54,10.04,5534750.0,2.38598,54775934.0,54.444,2.739,365851.69292,227329.99338
2359,002768,国恩股份,-2.533,20.39,21.0,21.15,20.29,20.92,696079.0,0.47855000000000003,14307110.0,23.988,2.9,553078.75,296581.5216
2360,002767,先锋电子,-2.022,12.6,12.86,13.23,12.55,12.86,502900.0,0.40676,6485609.0,40.645,2.674,189000.0,155782.305
2361,002766,索菱股份,-2.667,5.11,5.26,5.33,5.01,5.25,4701199.0,1.8869600000000002,24106648.0,14.6,1.135,215516.301154,127311.451113
2362,002765,蓝黛传动,-1.097,6.31,6.36,6.4,6.24,6.38,620200.0,0.24332,3904078.0,21.033,2.116,265809.6334,160837.95625
2363,002763,汇洁股份,-1.111,8.01,8.09,8.1,7.97,8.1,362780.0,0.19964,2910776.0,14.053,1.709,311428.8,145554.56406
2364,002762,金发拉比,-2.677,5.09,5.23,5.27,4.96,5.23,1847275.0,0.97189,9445485.0,11.311,1.8210000000000002,181517.035,96745.505295
2365,002761,多喜爱,-3.95,13.13,13.7,13.94,12.58,13.67,3773041.0,1.8590900000000001,50313238.0,69.105,3.848,267852.0,266475.209208
2366,002760,凤形股份,-3.744,14.14,14.66,14.8,14.07,14.69,426100.0,0.58774,6115190.0,-14.577,2.4859999999999998,124432.0,102512.870516
2367,002759,天际股份,-6.125,7.05,7.51,7.51,6.86,7.51,1846059.0,0.9814100000000001,13285638.0,141.0,0.9450000000000001,318786.888015,132612.87444
2368,002758,华通医药,-4.071,7.07,7.37,7.39,6.91,7.37,955021.0,0.53281,6892516.0,35.35,2.312,148472.306234,126723.771608
2369,002757,南兴装备,-0.036,28.05,27.96,28.3,27.6,28.06,356500.0,0.36329000000000006,9934240.0,28.348,2.313,368523.84525,275255.281125
2370,002756,永兴特钢,-2.443,12.38,12.63,12.75,12.13,12.69,649400.0,0.35113000000000005,8103144.0,12.633,1.332,445680.0,228963.258182
2371,002755,东方新星,-1.864,13.16,13.28,13.64,12.9,13.41,2200070.0,1.46329,29305758.0,119.636,4.312,1221459.021916,197861.854148
2372,002753,永东股份,-1.957,9.02,9.18,9.25,8.91,9.2,589100.0,0.29391,5333128.0,8.452,2.241,300662.98801,180795.645162
2373,002752,昇兴股份,-2.845,6.83,7.03,7.03,6.76,7.03,1805150.0,1.06036,12459739.0,62.091,3.176,569062.294477,116273.588745
2374,002751,易尚展示,-4.909,19.95,20.55,20.85,19.66,20.98,2418151.0,2.7652200000000002,48759989.0,58.676,3.083,308428.222935,174460.25625
2375,002750,龙津药业,-3.584,5.65,5.86,5.86,5.62,5.86,684864.0,0.17238,3913411.0,64.351,3.492,226282.5,224467.90419
2376,002749,国光股份,-2.233,17.51,17.94,17.99,17.19,17.91,314588.0,0.22504000000000002,5557570.0,7.087,2.559,384026.74603,244774.736147
2377,002748,世龙实业,-2.31,7.19,7.36,7.39,7.07,7.36,354321.0,0.14763,2560881.0,11.462,1.5110000000000001,172560.0,172560.0
2378,002747,埃斯顿,-2.469,7.9,8.1,8.1,7.83,8.1,2662842.0,0.36648000000000003,21167352.0,71.818,4.243,661698.45341,574015.80278
2379,002746,仙坛股份,-2.075,16.99,17.33,17.62,16.41,17.35,6536364.0,2.6974,111977231.0,30.339,2.318,525209.051359,411703.193809
2380,002745,木林森,-4.119,11.64,12.05,12.15,11.31,12.14,4751900.0,0.91405,55597444.0,9.165,1.546,1486624.18056,605129.594904
2381,002743,富煌钢构,-3.141,5.55,5.74,5.74,5.45,5.73,1940700.0,0.5814100000000001,10818684.0,26.429,0.919,187152.0384,185253.9384
2382,002742,三圣股份,-8.442,7.05,7.4,7.4,6.93,7.7,8102300.0,3.01676,57686727.0,16.786,2.052,304560.0,189346.004565
2383,002741,光华科技,-4.316,14.41,15.07,15.07,14.01,15.06,1355670.0,0.7142700000000001,19748904.0,58.222,4.484,539263.697918,273499.318598
2384,002740,爱迪尔,-2.26,5.19,5.32,5.37,5.03,5.31,1053900.0,0.64297,5488696.0,28.833,1.161,171574.603176,85070.269872
2385,002739,万达电影,-1.106,21.46,21.66,21.92,21.08,21.7,5190844.0,0.29469,111538181.0,16.627,2.992,3780055.521306,3780051.901004
2386,002738,中矿资源,-3.911,13.76,14.22,14.32,13.32,14.32,958915.0,0.53217,13180632.0,48.332,1.666,345523.364096,247940.236
2387,002737,葵花药业,-2.512,14.36,14.73,14.78,14.02,14.73,2801652.0,0.5421400000000001,40180254.0,9.903,2.745,838624.0,742094.279256
2388,002736,国信证券,-1.889,8.31,8.45,8.48,8.26,8.47,3986500.0,0.048620000000000003,33214993.0,15.981,1.451,6814200.0,6814200.0
2389,002735,王子新材,-3.472,20.85,21.51,21.58,20.2,21.6,199900.0,0.47019000000000005,4226774.0,43.438,3.077,175606.8315,88643.775
2390,002734,利民股份,-1.018,9.72,9.89,9.89,9.62,9.82,528570.0,0.25928,5143517.0,11.711,1.5430000000000001,275589.42984,198155.026512
2391,002733,雄韬股份,-5.495,18.06,18.66,18.7,17.6,19.11,19349499.0,5.91297,351536318.0,180.6,2.676,632304.451842,590992.366188
2392,002732,燕塘乳业,-2.452,15.12,15.3,15.57,14.78,15.5,355400.0,0.22837000000000002,5364136.0,19.636,2.5869999999999997,237913.2,235299.4434
2393,002731,萃华珠宝,-0.107,18.73,18.78,19.08,18.49,18.75,705100.0,0.54829,13268277.0,44.595,2.349,282223.64,240867.487209
2394,002730,电光科技,-3.715,6.48,6.68,6.68,6.42,6.73,800006.0,0.27539,5217795.0,38.118,2.239,209092.752,188243.352
2395,002729,好利来,-2.567,20.12,20.59,20.99,19.62,20.65,362475.0,0.5436,7367310.0,59.176,3.121,134160.16,134160.16
2396,002728,特一药业,-1.185,13.34,13.47,13.75,13.15,13.5,288176.0,0.24103000000000002,3899173.0,25.17,2.667,268002.044722,159495.318472
2397,002727,一心堂,-0.755,19.73,19.59,20.15,19.36,19.88,1672915.0,0.5589000000000001,33288419.0,24.298,2.841,1120209.837103,590559.766749
2398,002726,龙大肉食,-2.817,7.59,7.81,7.81,7.4,7.81,1093450.0,0.14576,8322957.0,30.36,2.8200000000000003,573873.828,569382.440187
2399,002725,跃岭股份,-0.749,7.95,7.7,8.1,7.7,8.01,2574200.0,1.45785,20311300.0,79.5,2.175,203520.0,140377.00575
2400,002724,海洋王,-3.763,5.37,5.54,5.57,5.33,5.58,1096077.0,0.33039,5938069.0,21.2,2.162,386640.0,178148.408574
2401,002723,金莱特,-1.812,8.67,8.71,8.95,8.49,8.83,1199515.0,0.6907700000000001,10441523.0,210.949,2.5300000000000002,165570.99,150554.55
2402,002722,金轮股份,-1.924,14.78,15.02,15.37,14.62,15.07,1732997.0,1.4566400000000002,25916172.0,30.163,1.435,259339.549076,175841.38456
2403,002721,金一文化,-6.365,5.59,5.97,6.0,5.37,5.97,8874754.0,1.51143,49887357.0,20.704,1.0,466607.448086,328232.101197
